English Name,Latitude,Longitude,Hebrew Name,English Name,Alt English Names,UID,,,,,
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter
"Baden bei Wien, Austria",48.00214,16.23091,באדען,"Baden bei Wien, Austria","Baden , Baden bei Wien",AT-00011,,,,,
Deutschkreutz,47.6016309,16.6234423,ציילעם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צילם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צלים,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צלם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צע לעם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צעהלים,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צעהלם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צעהלעם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צעלים,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צעלם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Deutschkreutz,47.6016309,16.6234423,צעלעם,Deutschkreutz,"Deutschkreutz , Sopronkeresztúr , Németkeresztúr , Tseylem , Kerestur , Zelem",AT-00012,,,,,
Eisenstadt,47.84637,16.52796,"א""ש",Eisenstadt,"Eisenstadt , Kismarton , Ayznshtot , Željezno , Stadt Eisenstadt",AT-00013,,,,,
Eisenstadt,47.84637,16.52796,אייזינשטאט,Eisenstadt,"Eisenstadt , Kismarton , Ayznshtot , Željezno , Stadt Eisenstadt",AT-00013,,,,,
Eisenstadt,47.84637,16.52796,אייזנשטאט,Eisenstadt,"Eisenstadt , Kismarton , Ayznshtot , Željezno , Stadt Eisenstadt",AT-00013,,,,,
Eisenstadt,47.84637,16.52796,אייזענשטאדט,Eisenstadt,"Eisenstadt , Kismarton , Ayznshtot , Željezno , Stadt Eisenstadt",AT-00013,,,,,
Eisenstadt,47.84637,16.52796,אייזענשטאט,Eisenstadt,"Eisenstadt , Kismarton , Ayznshtot , Željezno , Stadt Eisenstadt",AT-00013,,,,,
Frauenkirchen,47.8357583,16.9261022,"פ""ק",Frauenkirchen,"Frauenkirchen , Boldogasszony , Fertőboldogasszony",AT-00014,,,,,
Frauenkirchen,47.8357583,16.9261022,פרויא קירכען,Frauenkirchen,"Frauenkirchen , Boldogasszony , Fertőboldogasszony",AT-00014,,,,,
Frauenkirchen,47.8357583,16.9261022,פרויענקירכן,Frauenkirchen,"Frauenkirchen , Boldogasszony , Fertőboldogasszony",AT-00014,,,,,
Frauenkirchen,47.8357583,16.9261022,פרויענקירכען,Frauenkirchen,"Frauenkirchen , Boldogasszony , Fertőboldogasszony",AT-00014,,,,,
